X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023,X2024,X2025,X2026,X2027,X2028,X2029,X2030,X2031,X2032,X2033,X2034,X2035,X2036,X2037,X2038,X2039,X2040,X2041,X2042,X2043,X2044,X2045,X2046,X2047,X2048,X2049,X2050,X2051,X2052,X2053,X2054,X2055,X2056,X2057,X2058,X2059,X2060,X2061,X2062,X2063,X2064,X2065,X2066,X2067,X2068,X2069,X2070,X2071,X2072,X2073,X2074,X2075,X2076,X2077,X2078,X2079,X2080,X2081,X2082,X2083,X2084,X2085,X2086,X2087,X2088,X2089,X2090,X2091,X2092,X2093,X2094,X2095,X2096,X2097,X2098,X2099,X2100
6465.165,6652.164,6837.39,7030.465,7221.769,7392.684,7539.644,7680.165,7805.461,7924.592,8075.291,8244.685,8410.363,8578.81,8748.655,8871.704,8960.112,9073.358,9219.822,9358.012,9488.938,9669.211,9851.904,10029.262,10213.002,10340.121,10491.106,10638.058,10744.739,10928.968,11186.459,11424.276,11610.428,11805.837,12026.266,12211.627,12399.608,12528.025,12590.341,12685.757,12737.308,12773.401,12817.152,12833.977,12860.397,12900.907,12930.194,12958.075,12992.267,13038.526,13144.438,13291.234,13325.323,13218.862,13090.888,12934.697,12746.787,12590.477,12498.37,12494.517,12444.073,12338.101,12257.344,12127.548,11829.041,11649.138,11710.263,11580.406,11468.814,11412.46,11173.719,11012.379,10983.697,10979.586,10975.067,10957.378,10930.453,10902.836,10864.953,10826.422,10792.76,10749.026,10685.708,10617.954,10553.358,10485.169,10408.869,10321.962,10226.189,10129.488,10043.329,9955.096,9856.246,9760.691,9672.857,9584.36,9497.192,9412.712,9331.601,9262.727,9200.381,9140.454,9078.75,9019.242,8959.413,8902.914,8860.501,8818.131,8766.883,8711.822,8658.642,8600.072,8543.108,8488.163,8430.756,8372.008,8309.889,8244.983,8174.842,8101.412,8031.281,7968.528,7899.786,7829.069,7763.934,7696.178,7631.439,7573.908,7512.787,7449.703,7393.778,7335.475,7280.73,7232.041,7181.725,7133.831,7089.471,7048.466,7006.194,6963.211,6917.48,6871.727,6826.963,6774.135,6720.45,6669.022,6619.547,6572.833,6518.691,6467.484,6417.438
5411.624,5818.877,6004.233,6186.863,6378.493,6569.367,6738.689,6883.302,7022.894,7150.238,7270.327,7419.075,7584.231,7746.757,7912.349,8057.858,8160.33,8253.549,8388.879,8554.847,8697.79,8830.715,9008.106,9190.871,9373.027,9563.136,9697.048,9854.698,10007.979,10126.373,10318.95,10578.501,10821.216,11015.85,11218.958,11445.243,11638.038,11833.485,11972.309,12048.255,12156.006,12220.126,12269.463,12326.759,12356.176,12396.186,12451.16,12494.417,12536.256,12583.906,12643.394,12761.371,12917.39,12968.495,12889.388,12785.347,12653.374,12488.959,12352.227,12282.255,12298.938,12265.648,12175.827,12110.285,11994.761,11709.387,11542.713,11613.98,11491.04,11385.112,11337.32,11107.942,10948.228,10922.141,10920.909,10918.201,10904.78,10881.399,10856.9,10821.8,10785.66,10753.723,10711.434,10649.451,10582.94,10519.57,10452.597,10377.316,10291.295,10196.593,10100.945,10015.815,9928.587,9830.503,9735.79,9648.932,9561.153,9474.564,9390.629,9310.04,9241.828,9180.061,9120.644,9059.585,9000.448,8940.951,8884.743,8842.647,8800.749,8749.895,8695.193,8642.136,8583.755,8527.234,8472.614,8415.342,8357.01,8295.291,8230.496,8160.583,8087.403,8017.508,7955.021,7886.571,7816.139,7751.181,7683.666,7619.175,7561.938,7501.074,7438.095,7382.387,7324.39,7269.788,7221.243,7171.031,7123.138,7079.141,7038.388,6996.112,6953.145,6907.45,6862.039,6817.413,6764.585,6711.171,6660.007,6610.747,6564.066,6510.025,6458.923
4754.879,5071.819,5468.199,5655.743,5842.39,6038.257,6230.724,6400.261,6547.093,6690.69,6821.229,6944.433,7094.234,7260.329,7424.338,7576.941,7710.318,7817.795,7928.967,8080.329,8251.8,8398.212,8533.897,8714.996,8903.981,9093.826,9288.77,9429.894,9593.397,9754.667,9882.514,10080.399,10344.852,10593.343,10794.378,11003.035,11234.198,11432.406,11633.444,11778.882,11862.551,11976.104,12046.664,12103.114,12165.643,12201.664,12249.167,12310.516,12360.045,12407.698,12461.06,12526.432,12647.92,12807.317,12865.285,12791.51,12693.488,12567.362,12407.041,12278.052,12215.921,12237.151,12207.791,12122.484,12060.805,11947.751,11667.36,11505.207,11576.785,11454.306,11352.199,11308.21,11077.318,10917.66,10892.121,10890.751,10890.015,10878.063,10855.926,10832.52,10798.309,10762.904,10731.823,10690.317,10629.051,10563.274,10500.629,10434.204,10359.346,10273.903,10179.783,10084.748,10000.214,9913.349,9815.72,9721.612,9635.148,9547.663,9461.353,9377.68,9297.503,9229.637,9168.157,9109.155,9048.281,8989.306,8929.941,8873.904,8832.115,8790.45,8739.802,8685.098,8632.094,8574.006,8517.676,8463.072,8406.074,8348.002,8286.284,8221.594,8151.81,8078.752,8009.015,7946.703,7878.426,7808.079,7743.262,7675.9,7611.609,7554.536,7493.695,7430.85,7375.355,7317.423,7262.897,7214.389,7164.124,7116.514,7072.699,7031.892,6989.582,6946.599,6901.169,6855.84,6811.163,6758.535,6705.32,6654.309,6605.038,6558.402,6504.416
4534.193,4599.217,4912.645,5302.198,5491.055,5679.873,5875.849,6066.786,6236.281,6385.033,6529.497,6660.958,6784.507,6934.377,7100.434,7256.975,7402.163,7536.529,7651.414,7769.502,7923.566,8094.986,8241.321,8379.133,8562.863,8755.461,8947.098,9144.402,9288.096,9455.55,9621.272,9752.155,9953.098,10220.311,10471.568,10675.549,10887.006,11120.843,11322.374,11526.947,11676.559,11763.872,11880.867,11955.64,12014.94,12081.131,12121.883,12173.285,12238.27,12291.121,12342.092,12399.016,12466.299,12589.598,12752.942,12813.192,12742.689,12647.81,12523.308,12368.02,12244.401,12185.074,12208.23,12181.299,12098.132,12037.244,11926.861,11649.445,11487.247,11558.162,11438.218,11338.818,11292.62,11061.228,10901.519,10875.3,10875.217,10875.31,10863.994,10842.41,10819.389,10785.461,10750.474,10719.742,10678.52,10617.584,10552.16,10489.721,10423.397,10348.775,10263.583,10169.768,10075.054,9990.626,9903.95,9806.671,9712.746,9626.387,9539.004,9452.785,9369.349,9289.364,9221.642,9160.427,9101.487,9040.663,8981.712,8922.413,8866.576,8824.917,8783.36,8732.631,8677.901,8625.091,8567.108,8510.726,8456.308,8399.486,8341.353,8279.671,8215.041,8145.314,8072.347,8002.721,7940.516,7872.27,7802.012,7737.292,7670.072,7605.894,7548.803,7488.047,7425.363,7369.894,7312.001,7257.48,7208.895,7158.863,7111.394,7067.506,7026.644,6984.295,6941.532,6896.154,6850.757,6806.242,6753.775,6700.68,6649.64,6600.392,6553.787
4352.756,4449.041,4515.619,4825.358,5211.133,5400.575,5588.65,5782.421,5972.058,6141.761,6290.088,6434.012,6564.465,6687.342,6836.345,6996.104,7146.219,7290.617,7428.105,7545.957,7665.208,7817.914,7987.423,8133.88,8272.807,8458.021,8650.568,8842.748,9040.073,9185.906,9355.744,9522.332,9655.341,9858.221,10126.659,10379.073,10584.689,10797.901,11033.691,11237.686,11444.93,11596.743,11686.808,11806.747,11883.517,11945.686,12015.492,12059.392,12113.784,12181.387,12236.95,12290.89,12349.427,12418.423,12545.175,12710.096,12772.71,12704.8,12611.233,12490.923,12340.267,12219.163,12161.629,12186.771,12161.556,12079.091,12020.407,11912.346,11635.017,11472.526,11545.416,11427.775,11326.555,11279.775,11048.006,10887.465,10862.381,10862.996,10863.604,10852.731,10831.447,10808.627,10775.033,10740.325,10709.802,10668.83,10608.176,10542.908,10480.525,10414.378,10339.948,10255.001,10161.451,10066.814,9982.534,9896.149,9799.019,9705.176,9618.895,9531.579,9445.563,9362.29,9282.428,9214.939,9153.772,9094.868,9034.057,8975.156,8916.032,8860.312,8818.746,8777.103,8726.342,8671.783,8619.06,8561.023,8504.806,8450.542,8393.659,8335.553,8273.919,8209.335,8139.685,8066.815,7997.283,7935.1,7866.931,7796.757,7732.162,7665.042,7600.846,7543.828,7483.215,7420.551,7365.113,7307.224,7252.631,7204.254,7154.349,7106.81,7062.869,7021.97,6979.819,6937.099,6891.658,6846.406,6802.034,6749.674,6696.55,6645.529,6596.309
4200.955,4302.892,4399.204,4465.449,4773.157,5156.716,5345.092,5531.037,5723.337,5912.523,6081.159,6228.499,6370.903,6500.12,6621.967,6765.681,6919.77,7068.45,7214.172,7352.65,7470.59,7588.136,7738.548,7907.034,8053.337,8192.983,8377.292,8569.345,8760.688,8958.462,9105.664,9275.429,9442.772,9577.306,9781.1,10049.808,10302.721,10509.408,10724.014,10961.325,11167.275,11375.8,11529.359,11621.901,11743.152,11822.166,11887.351,11959.66,12006.132,12062.817,12132.727,12190.878,12246.298,12306.448,12378.637,12506.932,12673.706,12738.34,12671.653,12581.768,12465.504,12317.209,12197.885,12142.299,12168.953,12144.377,12063.935,12007.285,11899.252,11621.876,11461.351,11536.132,11417.013,11315.406,11267.862,11035.133,10875.728,10851.298,10852.378,10853.378,10842.763,10821.656,10799.131,10765.788,10731.268,10700.965,10660.237,10599.72,10534.502,10472.277,10406.299,10332.088,10247.381,10153.901,10059.402,9975.388,9889.137,9792.085,9698.318,9612.099,9524.97,9439.106,9355.949,9276.307,9208.864,9147.733,9088.843,9028.081,8969.343,8910.327,8854.697,8813.054,8771.381,8720.778,8666.301,8613.53,8555.646,8499.571,8445.252,8388.393,8330.332,8268.739,8204.226,8134.665,8061.883,7992.374,7930.261,7862.169,7792.113,7727.609,7660.473,7596.345,7539.457,7478.863,7416.23,7360.794,7302.839,7248.439,7200.178,7150.21,7102.623,7058.649,7017.93,6975.819,6933.042,6887.734,6842.614,6798.338,6745.952,6692.845,6641.849
4082.341,4170.91,4272.481,4367.892,4434.211,4740.865,5122.088,5308.591,5493.305,5685.146,5873.194,6040.73,6186.613,6327.706,6455.805,6573.411,6712.474,6865.092,7014.377,7160.35,7298.408,7414.526,7530.043,7679.392,7847.145,7993.538,8132.332,8315.836,8506.732,8698.07,8896.174,9043.015,9212.979,9380.962,9516.341,9720.427,9989.135,10242.361,10449.983,10665.731,10904.275,11111.074,11320.594,11475.724,11569.314,11692.103,11773.44,11840.63,11914.889,11963.218,12021.819,12093.803,12153.138,12209.905,12272.742,12346.334,12476.266,12644.504,12709.892,12646.291,12559.816,12445.521,12298.805,12181.239,12127.054,12154.21,12131.309,12052.644,11995.997,11887.825,11612.228,11453.496,11526.926,11407.498,11305.03,11256.357,11024.692,10865.949,10841.941,10843.362,10844.575,10834.102,10813.248,10790.932,10757.746,10723.416,10693.319,10652.697,10592.213,10527.129,10465.048,10399.26,10325.257,10240.602,10147.241,10052.983,9969.085,9882.897,9785.91,9692.199,9606.147,9519.155,9433.394,9350.434,9270.836,9203.427,9142.307,9083.458,9022.844,8964.204,8905.27,8849.571,8807.899,8766.368,8715.838,8661.316,8608.681,8550.926,8494.8,8440.502,8383.683,8325.657,8264.129,8199.694,8130.212,8057.451,7988.006,7925.962,7857.976,7788.003,7723.483,7656.409,7592.401,7535.529,7474.962,7412.331,7356.833,7299.055,7244.761,7196.442,7146.429,7098.811,7055.002,7014.32,6972.156,6929.499,6884.31,6839.279,6794.977,6742.606,6689.521
3993.253,4062.434,4150.665,4251.347,4346.566,4413.288,4718.578,5097.373,5282.921,5467.388,5658.357,5845.47,6011.745,6156.571,6296.72,6421.319,6535.274,6673.269,6826.385,6975.859,7121.495,7257.91,7372.324,7487.163,7635.993,7803.656,7949.216,8087.503,8269.982,8460.771,8652.289,8849.631,8996.573,9166.889,9335.213,9471.001,9675.242,9943.984,10197.608,10406.042,10622.743,10861.68,11069.126,11279.565,11435.126,11529.914,11654.309,11737.073,11805.72,11881.253,11931.028,11991.221,12063.985,12124.291,12183.169,12247.057,12322.002,12453.103,12621.669,12689.343,12628.484,12543.54,12430.446,12285.17,12168.781,12115.024,12143.501,12122.007,12043.315,11986.481,11879.7,11605.664,11445.882,11518.944,11398.655,11295.127,11247.293,11016.236,10857.918,10834.21,10835.802,10837.116,10826.85,10806.166,10783.969,10750.938,10716.781,10686.762,10646.146,10585.767,10520.8,10458.878,10393.264,10319.292,10234.731,10141.58,10047.421,9963.571,9877.431,9780.487,9686.923,9600.988,9514.085,9428.499,9345.575,9266.004,9198.601,9137.514,9078.796,9018.267,8959.698,8900.697,8844.97,8803.424,8761.954,8711.378,8656.978,8604.46,8546.655,8490.544,8436.279,8379.49,8321.52,8260.06,8195.695,8126.229,8053.524,7984.141,7922.191,7854.279,7784.29,7719.824,7652.859,7588.864,7532.015,7471.447,7408.758,7353.422,7295.74,7241.391,7193.029,7142.986,7095.52,7051.744,7011.011,6968.956,6926.408,6881.298,6836.242,6791.953,6739.6
3929.119,3977.302,4046.315,4133.882,4234.444,4329.975,4396.588,4700.269,5077.664,5263.169,5447.105,5637.453,5823.606,5989.101,6133.319,6270.645,6392.328,6505.747,6644.519,6798.074,6947.539,7092.016,7227.142,7341.221,7455.995,7605.05,7772.087,7917.315,8055.042,8237.574,8428.579,8619.507,8816.72,8964.013,9134.569,9303.041,9439.132,9643.567,9912.521,10166.569,10375.701,10592.661,10831.904,11039.96,11250.431,11406.633,11502.64,11627.912,11711.628,11781.112,11857.563,11908.446,11969.078,12042.415,12104.274,12163.828,12228.678,12304.496,12435.737,12605.943,12675.624,12615.869,12531.762,12419.715,12275.33,12159.231,12106.551,12136.104,12114.469,12035.558,11979.827,11874.254,11599.319,11439.275,11511.443,11390.218,11287.454,11240.063,11009.387,10851.367,10827.801,10829.464,10830.943,10820.807,10800.212,10778.135,10745.244,10711.142,10681.108,10640.566,10580.277,10515.442,10453.664,10388.063,10314.16,10229.777,10136.705,10042.582,9958.766,9872.653,9775.836,9682.373,9596.511,9509.762,9424.202,9341.297,9261.727,9194.35,9133.377,9074.732,9014.263,8955.627,8896.596,8840.983,8799.489,8757.971,8707.504,8653.207,8600.636,8542.842,8486.76,8432.518,8375.776,8317.865,8256.466,8192.112,8122.694,8050.044,7980.747,7918.862,7850.932,7780.991,7716.622,7649.667,7585.691,7528.84,7468.216,7405.675,7350.425,7292.69,7238.301,7189.91,7140.005,7092.568,7048.744,7008.109,6966.154,6923.678,6878.545,6833.498,6789.224
3885.16,3913.898,3962.122,4030.727,4118.349,4219.292,4314.756,4380.9,4683.72,5060.554,5245.762,5429.358,5619.054,5804.68,5969.816,6111.806,6246.813,6368.305,6482.836,6622.41,6776.296,6925.096,7068.769,7203.854,7318.181,7433.551,7582.395,7749.311,7894.23,8032.319,8215.215,8405.829,8596.754,8794.176,8941.76,9112.45,9281.069,9417.463,9622.207,9891.444,10145.905,10355.171,10572.334,10811.915,11019.864,11230.638,11387.587,11484.202,11610.006,11694.183,11764.233,11841.351,11892.382,11953.308,12027.745,12089.969,12150.156,12215.574,12291.378,12423.899,12595.584,12665.943,12606.729,12523.36,12411.921,12267.678,12152.435,12100.631,12129.952,12108.025,12030.013,11975.254,11868.797,11593.627,11432.858,11504.16,11383.614,11281.253,11234.126,11003.721,10845.854,10822.344,10824.141,10825.721,10815.649,10795.148,10773.183,10740.329,10706.202,10676.222,10635.745,10575.564,10510.853,10449.075,10383.526,10309.776,10225.454,10132.406,10038.31,9954.512,9868.507,9771.778,9678.376,9592.65,9505.918,9420.371,9337.462,9257.914,9190.638,9129.73,9071.136,9010.602,8951.934,8893.005,8837.439,8795.897,8754.475,8704.099,8649.752,8597.188,8539.416,8483.354,8429.153,8372.463,8314.606,8253.215,8188.903,8119.533,8046.959,7977.721,7915.816,7847.93,7778.077,7713.716,7646.777,7582.798,7525.893,7465.404,7402.942,7347.642,7289.87,7235.453,7187.188,7137.309,7089.827,7046.093,7005.55,6963.659,6921.16,6876.035,6831.002
3861.026,3870.102,3899.021,3947.014,4015.794,4103.864,4204.784,4299.792,4365.98,4668.56,5044.551,5229.531,5412.65,5601.965,5787.335,5950.564,6090.635,6225.622,6348.293,6463.833,6603.984,6757.495,6905.787,7049.619,7185.08,7300.139,7415.587,7564.542,7731.271,7876.614,8015.243,8197.892,8388.569,8579.749,8777.357,8925.11,9095.924,9264.721,9401.477,9606.551,9876.091,10130.531,10339.918,10557.346,10796.707,11004.846,11216.121,11373.415,11470.419,11596.45,11680.969,11751.471,11828.543,11879.709,11941.506,12016.126,12078.793,12139.377,12204.675,12281.573,12415.36,12587.493,12658.164,12599.513,12516.597,12405.192,12261.669,12147.185,12095.147,12124.133,12102.956,12025.796,11970.185,11863.442,11587.702,11426.282,11498.147,11377.968,11275.86,11228.925,10998.674,10840.886,10817.501,10819.386,10821.016,10811.023,10790.622,10768.684,10735.801,10701.72,10671.794,10631.409,10571.34,10506.626,10444.893,10379.48,10305.783,10221.482,10128.457,10034.376,9950.675,9864.748,9768.076,9674.8,9589.091,9502.37,9416.819,9333.93,9254.477,9187.261,9126.399,9067.744,9007.181,8948.607,8889.721,8834.112,8792.658,8751.319,8700.895,8646.555,8594.011,8536.258,8480.233,8426.081,8369.44,8311.589,8250.237,8185.969,8116.669,8044.15,7974.895,7913.03,7845.224,7775.379,7711.033,7644.091,7580.064,7523.283,7462.868,7400.36,7345.025,7287.227,7232.927,7184.686,7134.766,7087.367,7043.718,7003.235,6961.324,6918.832,6873.719
3859.597,3845.992,3855.329,3884.095,3932.319,4001.581,4089.661,4190.099,4285.055,4351.763,4653.724,5028.876,5213.389,5396.16,5585.239,5768.848,5930.316,6070.441,6206.517,6330.123,6446.435,6586.378,6739.495,6888.051,7032.322,7168.543,7283.754,7399.476,7548.343,7715.486,7861.39,7999.88,8182.623,8373.561,8564.933,8762.599,8910.479,9081.432,9250.492,9387.637,9593.067,9862.514,10116.957,10326.574,10543.752,10783.206,10991.799,11203.292,11360.831,11458.023,11584.263,11669.129,11739.498,11816.584,11868.57,11930.485,12005.46,12068.458,12128.854,12195.212,12273.377,12407.586,12579.919,12651.038,12592.784,12509.838,12399.106,12256.329,12141.592,12089.204,12118.903,12098.542,12020.492,11964.55,11857.403,11581.24,11420.422,11492.584,11372.656,11270.751,11223.92,10993.77,10836.138,10812.845,10814.781,10816.488,10806.59,10786.218,10764.256,10731.422,10697.397,10667.559,10627.279,10567.211,10502.544,10440.943,10375.584,10301.908,10217.631,10124.626,10030.643,9947.02,9861.148,9764.597,9671.343,9585.647,9498.928,9413.401,9330.605,9251.212,9184.044,9123.13,9064.451,9003.978,8945.448,8886.525,8831.002,8789.629,8748.248,8697.833,8643.513,8590.989,8533.274,8477.297,8423.191,8366.559,8308.746,8247.435,8183.234,8113.989,8041.457,7972.239,7910.452,7842.655,7772.826,7708.479,7641.494,7577.584,7520.873,7460.417,7397.878,7342.521,7284.834,7230.558,7182.279,7132.439,7085.12,7041.529,7001.026,6959.123,6916.643
3841.813,3843.707,3830.482,3839.713,3868.75,3917.51,3986.823,4074.369,4174.725,4270.143,4336.935,4638.253,5012.231,5196.327,5378.86,5566.296,5748.206,5909.734,6050.799,6187.6,6312.213,6428.463,6568.099,6721.623,6870.72,7015.896,7152.275,7267.854,7383.552,7532.931,7700.688,7846.368,7985.027,8168.069,8359.197,8550.602,8748.272,8896.287,9067.487,9236.884,9374.494,9579.852,9849.222,10103.832,10313.093,10530.341,10770.244,10979.028,11190.671,11348.274,11445.632,11572.131,11656.693,11726.94,11804.9,11856.924,11919.154,11994.412,12057.075,12118.668,12186.485,12265.112,12399.505,12572.242,12643.682,12585.289,12503.069,12393.153,12250.008,12134.805,12083.261,12113.879,12092.358,12013.862,11957.932,11850.658,11575.124,11414.676,11487.039,11367.326,11265.552,11218.787,10988.822,10831.326,10808.098,10810.115,10811.917,10802.055,10781.672,10759.763,10726.992,10693.061,10663.328,10623.056,10563.042,10498.508,10436.966,10371.636,10297.993,10213.743,10120.838,10026.938,9943.376,9857.625,9761.103,9667.871,9582.186,9495.497,9410.065,9327.334,9247.994,9180.784,9119.855,9061.266,9000.84,8942.281,8883.445,8828.004,8786.596,8745.227,8694.835,8640.54,8588.054,8530.388,8474.459,8420.365,8363.772,8306.003,8244.76,8180.611,8111.356,8038.865,7969.724,7907.948,7840.169,7770.343,7705.959,7639.087,7575.245,7518.498,7458.016,7395.461,7340.208,7282.547,7228.239,7180.036,7130.271,7083.009,7039.402,6998.909,6957.019
3774.557,3824.58,3826.851,3813.549,3823.097,3852.756,3901.62,3970.274,4057.78,4158.687,4253.993,4320.97,4621.184,4993.884,5177.67,5358.642,5544.396,5726.372,5888.52,6029.953,6168.172,6292.737,6408.726,6549.046,6703.263,6853.545,6998.886,7135.698,7251.163,7367.551,7517.756,7685.053,7830.852,7969.941,8153.189,8344.283,8535.628,8733.299,8881.61,9053.19,9223.083,9360.621,9565.915,9835.469,10089.445,10298.728,10516.577,10756.624,10965.538,11177.113,11334.718,11432.353,11558.222,11642.39,11713.752,11791.586,11843.882,11906.372,11981,12045.207,12108.725,12177.069,12255.875,12390.76,12563.764,12634.794,12577.289,12496.087,12385.522,12241.632,12127.556,12077.264,12106.144,12083.891,12006.169,11950.665,11843.966,11568.864,11408.713,11481.242,11361.682,11260.009,11213.389,10983.601,10826.227,10803.097,10805.219,10807.066,10797.203,10776.885,10755.049,10722.379,10688.56,10658.847,10618.637,10558.76,10494.297,10432.795,10367.506,10293.9,10209.758,10116.944,10023.115,9939.678,9853.965,9757.478,9664.27,9578.624,9492.036,9406.675,9324.004,9244.638,9177.424,9116.588,9058.051,8997.608,8939.138,8880.386,8824.921,8783.531,8742.191,8691.827,8637.574,8585.14,8527.526,8471.614,8417.563,8361.016,8303.314,8242.124,8177.974,8108.761,8036.346,7967.222,7905.467,7837.696,7767.841,7703.566,7636.762,7572.892,7516.124,7455.63,7393.177,7337.952,7280.264,7226.03,7177.903,7128.193,7080.919,7037.324,6996.847
3680.102,3755.939,3806.207,3808.224,3795.308,3805.613,3835.443,3883.438,3952.148,4040.468,4141.102,4236.529,4303.126,4602.059,4973.555,5155.762,5335.006,5520.89,5703.025,5864.917,6008.417,6146.529,6270.702,6387.78,6529.057,6684.88,6835.307,6981.185,7117.635,7233.935,7351.492,7500.938,7668.23,7814.516,7953.903,8137.031,8327.95,8519.231,8717.147,8865.968,9038.194,9207.827,9345.313,9550.969,9819.525,10073.378,10283.499,10501.53,10741.65,10950.398,11161.773,11319.581,11416.179,11541.208,11626.878,11697.904,11775.914,11828.438,11889.853,11966.602,12033.504,12097.659,12166.138,12245.599,12380.802,12553.004,12625.127,12568.987,12486.687,12374.88,12232.568,12120.289,12067.386,12095.077,12074.629,11998.106,11943.166,11836.862,11562.139,11402.263,11474.888,11355.459,11253.969,11207.485,10977.869,10820.655,10797.649,10799.828,10801.689,10791.901,10771.667,10749.94,10717.393,10683.611,10653.968,10613.898,10554.103,10489.695,10428.248,10363.01,10289.519,10205.476,10112.746,10019.053,9935.665,9849.998,9753.549,9660.394,9574.858,9488.35,9403.059,9320.376,9241.02,9173.906,9113.13,9054.586,8994.237,8935.855,8877.091,8821.654,8780.3,8738.992,8688.676,8634.48,8582.103,8524.513,8468.648,8414.647,8358.171,8300.526,8239.341,8175.236,8106.103,8033.711,7964.614,7902.871,7835.078,7765.332,7701.127,7634.302,7570.419,7513.645,7453.251,7390.828,7335.583,7277.971,7223.813,7175.741,7126.025,7078.767,7035.191
3597.959,3660.341,3736.421,3786.039,3788.332,3776.381,3786.958,3815.635,3863.839,3933.774,4021.718,4122.525,4217.252,4283.297,4581.144,4950.115,5130.399,5309.88,5495.4,5676.459,5841.19,5984.471,6121.926,6247.561,6365.945,6509.425,6665.317,6816.39,6961.565,7098.956,7216.765,7333.168,7482.527,7650.346,7796.925,7936.151,8118.968,8309.725,8501.313,8699.782,8849.508,9021.292,9190.702,9328.806,9533.112,9801.414,10056.351,10266.691,10484.817,10724.597,10932.969,11144.478,11300.565,11395.826,11522.86,11607.885,11679.003,11757.159,11807.996,11872.356,11952.85,12020.537,12084.765,12154.091,12233.967,12367.959,12541.568,12615.462,12557.612,12473.399,12363.756,12223.97,12107.873,12053.237,12083.766,12065.153,11989.228,11934.684,11828.714,11554.344,11394.681,11467.366,11348.141,11246.825,11200.456,10971.048,10814.022,10791.091,10793.29,10795.229,10785.531,10765.415,10743.814,10711.311,10677.61,10648.113,10608.129,10548.4,10484.058,10422.671,10357.556,10284.172,10200.221,10107.637,10014.007,9930.676,9845.056,9748.673,9655.638,9570.193,9483.766,9398.475,9315.812,9236.567,9169.522,9108.749,9050.307,8990.053,8931.669,8872.942,8817.55,8776.236,8734.981,8684.73,8630.599,8578.252,8520.717,8464.91,8410.985,8354.573,8296.939,8235.808,8171.788,8102.685,8030.328,7961.252,7899.494,7831.816,7762.147,7697.928,7631.098,7567.216,7510.548,7450.191,7387.757,7332.592,7275.06,7220.966,7172.895,7123.202,7075.968
3527.75,3577.352,3640.231,3715.347,3764.947,3768.248,3756.723,3765.827,3794.91,3844.869,3914.361,4002.655,4102.512,4196.283,4262.184,4557.626,4923.475,5104.065,5282.636,5466.189,5650.966,5815.221,5957.498,6096.783,6223.976,6345.274,6488.753,6645.373,6795.307,6941.551,7080.77,7196.834,7313.084,7463.112,7631.173,7777.418,7916.262,8098.824,8289.957,8482.276,8681.816,8830.933,9002.358,9172.497,9308.849,9512.9,9782.638,10037.744,10248.191,10465.865,10705.016,10913.538,11122.524,11276.539,11374.522,11500.502,11585.491,11656.703,11732.395,11787.162,11856.56,11938.006,12005.691,12070.998,12140.825,12219.025,12354.931,12530.825,12602.2,12541.638,12460.297,12354.017,12208.954,12090.462,12039.055,12071.282,12053.285,11977.796,11923.575,11817.89,11543.795,11384.297,11457.096,11338.051,11236.873,11190.636,10961.454,10804.555,10781.641,10783.913,10785.932,10776.347,10756.36,10734.792,10702.368,10668.821,10639.408,10599.482,10539.817,10475.537,10414.28,10349.277,10275.989,10192.196,10099.678,10006.112,9922.829,9837.278,9741.029,9648.098,9562.742,9476.312,9391.044,9308.508,9229.345,9162.307,9101.649,9043.317,8983.063,8924.722,8866.05,8810.71,8769.461,8728.282,8678.107,8624.015,8571.736,8514.272,8458.558,8404.713,8348.32,8290.754,8229.727,8165.748,8096.693,8024.368,7955.284,7893.666,7826.084,7756.409,7692.193,7625.373,7561.623,7505.006,7444.645,7382.314,7327.251,7269.801,7215.717,7167.681,7118.026
